name,link
W003390219,https://www.wayfair.com/furniture/pdp/bayou-breeze-bowerman-28-wide-polyester-armchair-w003390219.html
W004269031,https://www.wayfair.com/furniture/pdp/george-oliver-biggerstaff-30-wide-polyester-armchair-w004269031.html
W002274616,https://www.wayfair.com/furniture/pdp/bay-isle-home-wenzel-2525-wide-cotton-armchair-w002274616.html
W004462589,https://www.wayfair.com/furniture/pdp/hashtag-home-harmon-25-wide-barrel-chair-and-ottoman-w004462589.html
W004995830,https://www.wayfair.com/furniture/pdp/charlton-home-brookhill-33-w-tufted-chesterfield-chair-w004995830.html
W005596518,https://www.wayfair.com/furniture/pdp/bay-isle-home-hanska-40-w-polyester-swivel-papasan-chair-w005596518.html
W004333500,https://www.wayfair.com/furniture/pdp/george-oliver-jarin-2538-wide-armchair-w004333500.html
DNTR1184,https://www.wayfair.com/furniture/pdp/santra-furniture-santra-2657-wide-velvet-armchair-dntr1184.html
W005064573,https://www.wayfair.com/furniture/pdp/alcott-hill-atwater-335-wide-polyester-armchair-w005064573.html
W004846409,https://www.wayfair.com/furniture/pdp/loon-peak-masardis-225-wide-polyester-slipper-chair-w004846409.html
W003579564,https://www.wayfair.com/furniture/pdp/house-of-hampton-feldt-406-wide-tufted-velvet-chesterfield-chair-w003579564.html
BDJI1010,https://www.wayfair.com/furniture/pdp/red-barrel-studio-melorse-38-wide-slipcovered-armchair-bdji1010.html
W005061144,https://www.wayfair.com/furniture/pdp/gullo-2475-wide-cotton-armchair-w005061144.html
W000024466,https://www.wayfair.com/furniture/pdp/red-barrel-studio-aonesti-29-wide-tufted-polyester-swivel-armchair-w000024466.html
W005543659,https://www.wayfair.com/furniture/pdp/mercer41-aariyona-velvet-accent-chair-w005543659.html
W004488053,https://www.wayfair.com/furniture/pdp/corrigan-studio-sutterfield-2677-wide-armchair-w004488053.html?categoryid=416225&placement=8&slot=0&sponsoredid=4c4055f746123e6b13ccd568ae57bece58cf90b5c0ba5855a0437bcb042769da&_txid=I%2FcmXGEsWDSBPid7H1MjAg%3D%3D&isB2b=0&auctionId=8756c380-bc33-4cb2-820f-cf6997116160
DNTR1184,https://www.wayfair.com/furniture/pdp/santra-furniture-santra-2657-wide-velvet-armchair-dntr1184.html
W002844628,https://www.wayfair.com/furniture/pdp/kelly-clarkson-home-olivet-23-wide-tufted-polyester-slipper-chair-w002844628.html
W004143789,https://www.wayfair.com/furniture/pdp/andover-mills-pina-335-wide-armchair-w004143789.html
W005271092,https://www.wayfair.com/furniture/pdp/gold-flamingo-grenier-251-wide-tufted-polyester-blend-side-chair-w005271092.html
W005481714,https://www.wayfair.com/furniture/pdp/andover-mills-sophia-29-wide-polyester-barrel-chair-w005481714.html
W001236514,https://www.wayfair.com/furniture/pdp/george-oliver-accent-chair-with-button-tufted-back-set-of-2-w001236514.html?categoryid=416225&placement=8&slot=1&sponsoredid=92fde4f9bde93a252847b6eb69900298104223abfb653dfc1b8998c990d7a514&_txid=I%2FcmXGEsWDSBPid7H1MjAg%3D%3D&isB2b=0&auctionId=8756c380-bc33-4cb2-820f-cf6997116160
W001480010,https://www.wayfair.com/furniture/pdp/house-of-hampton-martens-40-wide-tufted-velvet-armchair-w001480010.html
W006116156,https://www.wayfair.com/furniture/pdp/andover-mills-rebersburg-upholstered-parsons-chair-w006116156.html
W000655639,https://www.wayfair.com/furniture/pdp/hashtag-home-austin-2402-wide-tufted-polyester-armchair-w000655639.html
W003558295,https://www.wayfair.com/furniture/pdp/mercer41-focht-20-wide-velvet-armchair-w003558295.html
W003579564,https://www.wayfair.com/furniture/pdp/house-of-hampton-feldt-406-wide-tufted-velvet-chesterfield-chair-w003579564.html
W002299863,https://www.wayfair.com/furniture/pdp/george-oliver-accent-chair-with-button-tufted-back-w002299863.html?categoryid=416225&placement=8&slot=2&sponsoredid=96bab62092798eed2ad33c594587d5d08ced96c18a1c492ea0c2da8ea15dfcc8&_txid=I%2FcmXGEsWDSBPid7H1MjAg%3D%3D&isB2b=0&auctionId=8756c380-bc33-4cb2-820f-cf6997116160
W005051773,https://www.wayfair.com/furniture/pdp/andover-mills-pringle-7874cm-wide-polyester-wingback-chair-w005051773.html
W003573681,https://www.wayfair.com/furniture/pdp/mercer41-valier-25-wide-velvet-barrel-chair-w003573681.html
W005405159,https://www.wayfair.com/furniture/pdp/corrigan-studio-zena-2875-wide-tufted-velvet-armchair-and-ottoman-w005405159.html
W002479813,https://www.wayfair.com/furniture/pdp/union-rustic-altieri-291-wide-genuine-leather-butterfly-chair-w002479813.html
W000344072,https://www.wayfair.com/baby-kids/pdp/mercury-row-teen-malek-barrel-chair-and-ottoman-w000344072.html
W002960171,https://www.wayfair.com/furniture/pdp/gold-flamingo-tyson-355-wide-tufted-velvet-barrel-chair-w002960171.html?categoryid=416225&placement=8&slot=3&sponsoredid=fafbeb26d90ec89484f0d04328e463ae7cbf825154d4d2114f9bc5e891e8c67c&_txid=I%2FcmXGEsWDSBPid7H1MjAg%3D%3D&isB2b=0&auctionId=8756c380-bc33-4cb2-820f-cf6997116160
W003171677,https://www.wayfair.com/furniture/pdp/red-barrel-studio-fieldbrook-tufted-polyester-armchair-and-ottoman-w003171677.html
W002982951,https://www.wayfair.com/furniture/pdp/wrought-studio-tisch-305-wide-barrel-chair-w002982951.html
W004414528,https://www.wayfair.com/furniture/pdp/hashtag-home-valeria-30-wide-tufted-polyester-armchair-w004414528.html
W004878990,https://www.wayfair.com/furniture/pdp/mercer41-fineman-303-wide-tufted-velvet-barrel-chair-w004878990.html
W001555087,https://www.wayfair.com/furniture/pdp/bay-isle-home-bungalo-223-wide-cotton-barrel-chair-w001555087.html
W000472326,https://www.wayfair.com/furniture/pdp/george-oliver-leib-28-wide-tufted-polyester-armchair-w000472326.html?categoryid=416225&placement=8&slot=4&sponsoredid=5dbbcae652b7948acefbd89d36e191d4fec01709d15b992f5257369faeda31fb&_txid=I%2FcmXGEsWDSBPid7H1MjAg%3D%3D&isB2b=0&auctionId=8756c380-bc33-4cb2-820f-cf6997116160
MCCE1735,https://www.wayfair.com/furniture/pdp/novogratz-ciara-27-wide-polyester-side-chair-mcce1735.html
W004751659,https://www.wayfair.com/furniture/pdp/red-barrel-studio-apollos-30-wide-polyester-armchair-w004751659.html
W002720077,https://www.wayfair.com/furniture/pdp/winston-porter-donecia-213-wide-linen-slipper-chair-w002720077.html
W005404775,https://www.wayfair.com/shop-product-type/pdp/andover-mills-2375-w-lounge-chair-with-wood-frame-w005404775.html
